#fields	indicator	indicator_type	meta.source	meta.do_notice
# The following line is for testing only.  Please keep it commented out when running in production.
#time.windows.com	Intel::DOMAIN	Test FQDN	T
advanbusiness.com	Intel::DOMAIN	Mandiant APT1 Report	T
aoldaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
aolon1ine.com	Intel::DOMAIN	Mandiant APT1 Report	T
applesoftupdate.com	Intel::DOMAIN	Mandiant APT1 Report	T
arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
attnpower.com	Intel::DOMAIN	Mandiant APT1 Report	T
aunewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
avvmail.com	Intel::DOMAIN	Mandiant APT1 Report	T
bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
bigish.net	Intel::DOMAIN	Mandiant APT1 Report	T
blackberrycluter.com	Intel::DOMAIN	Mandiant APT1 Report	T
blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
bluecoate.com	Intel::DOMAIN	Mandiant APT1 Report	T
booksonlineclub.com	Intel::DOMAIN	Mandiant APT1 Report	T
bpyoyo.com	Intel::DOMAIN	Mandiant APT1 Report	T
businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
businessformars.com	Intel::DOMAIN	Mandiant APT1 Report	T
busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
canadatvsite.com	Intel::DOMAIN	Mandiant APT1 Report	T
canoedaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
chileexe77.com	Intel::DOMAIN	Mandiant APT1 Report	T
cnndaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
cnndaily.net	Intel::DOMAIN	Mandiant APT1 Report	T
cnnnewsdaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
cometoway.org	Intel::DOMAIN	Mandiant APT1 Report	T
companyinfosite.com	Intel::DOMAIN	Mandiant APT1 Report	T
competrip.com	Intel::DOMAIN	Mandiant APT1 Report	T
comrepair.net	Intel::DOMAIN	Mandiant APT1 Report	T
conferencesinfo.com	Intel::DOMAIN	Mandiant APT1 Report	T
copporationnews.com	Intel::DOMAIN	Mandiant APT1 Report	T
cslisten.com	Intel::DOMAIN	Mandiant APT1 Report	T
defenceonline.net	Intel::DOMAIN	Mandiant APT1 Report	T
dnsweb.org	Intel::DOMAIN	Mandiant APT1 Report	T
downloadsite.me	Intel::DOMAIN	Mandiant APT1 Report	T
earthsolution.org	Intel::DOMAIN	Mandiant APT1 Report	T
e-cardsshop.com	Intel::DOMAIN	Mandiant APT1 Report	T
firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
freshreaders.net	Intel::DOMAIN	Mandiant APT1 Report	T
giftnews.org	Intel::DOMAIN	Mandiant APT1 Report	T
globalowa.com	Intel::DOMAIN	Mandiant APT1 Report	T
gmailboxes.com	Intel::DOMAIN	Mandiant APT1 Report	T
hkcastte.com	Intel::DOMAIN	Mandiant APT1 Report	T
hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
hvmetal.com	Intel::DOMAIN	Mandiant APT1 Report	T
idirectech.com	Intel::DOMAIN	Mandiant APT1 Report	T
ifexcel.com	Intel::DOMAIN	Mandiant APT1 Report	T
infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
issnbgkit.net	Intel::DOMAIN	Mandiant APT1 Report	T
jobsadvanced.com	Intel::DOMAIN	Mandiant APT1 Report	T
livemymsn.com	Intel::DOMAIN	Mandiant APT1 Report	T
lksoftvc.net	Intel::DOMAIN	Mandiant APT1 Report	T
maltempata.com	Intel::DOMAIN	Mandiant APT1 Report	T
marsbrother.com	Intel::DOMAIN	Mandiant APT1 Report	T
mcafeepaying.com	Intel::DOMAIN	Mandiant APT1 Report	T
mediaxsds.net	Intel::DOMAIN	Mandiant APT1 Report	T
microsoft-update-info.com	Intel::DOMAIN	Mandiant APT1 Report	T
micyuisyahooapis.com	Intel::DOMAIN	Mandiant APT1 Report	T
msnhome.org	Intel::DOMAIN	Mandiant APT1 Report	T
myyahoonews.com	Intel::DOMAIN	Mandiant APT1 Report	T
nationtour.net	Intel::DOMAIN	Mandiant APT1 Report	T
newsesport.com	Intel::DOMAIN	Mandiant APT1 Report	T
newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
newsonlinesite.com	Intel::DOMAIN	Mandiant APT1 Report	T
newspappers.org	Intel::DOMAIN	Mandiant APT1 Report	T
